Condition,Background,Target,Source
IgG1,wt,53.1,Sci Fig2E
IgG1,cMOKO,53.1,Imm Fig4E
IgG2a,wt,11.1,Sci Fig2E
IgG2a,cMOKO,11.1,Imm Fig4F
IgG2a,NeuKO,11.1,Imm Fig3D
IgG2a,EOKO,11.1,Imm Fig3E
IgG2b,wt,16.9,Sci Fig2E
IgG1,gcKO,92.9,Sci Fig2E
IgG2a,gcKO,78.9,Sci Fig2E
IgG2b,gcKO,93.7,Sci Fig2E
IgG1,R1KO,46.8,Sci Fig2E
IgG2a,R1KO,14.7,Sci Fig2E
IgG2b,R1KO,28,Sci Fig2E
IgG1,R3KO,84,Sci Fig2E
IgG2a,R3KO,9.1,Sci Fig2E
IgG2b,R3KO,14.7,Sci Fig2E
IgG1,R1/3KO,93.7,Sci Fig2E
IgG2a,R1/3KO,21,Sci Fig2E
IgG2a,R1/4KO,53,Imm Fig5F
IgG2b,R1/3KO,10.6,Sci Fig2E
IgG1,R4block,51.6,Sci Fig2E
IgG2a,R4block,45.6,Sci Fig2E
IgG2b,R4block,79.7,Sci Fig2E
IgG1,R2KO,15.9,Sci Fig3C
IgG2a,R2KO,7.8,Sci Fig3C
IgG2b,R2KO,11.8,Sci Fig3C
IgG1SA,wt,90.9,Sial Fig1C
IgG2bSA,wt,50.4,Sial Fig1C
# R2KO cases are approximate. From Nimmerjahn, Science,2005,
# IgG2a,NeuKO and EOKO duplicated from IgG2a,wt, based on 10.1016/j.immuni.2011.11.009
# Sci = Nimmerjahn, F. & Ravetch, J. V. Divergent Immunoglobulin G Subclass Activity Through Selective Fc Receptor Binding. Science 310, 1510Ð1512 (2005).
# Imm = Biburger, M. et al. Monocyte Subsets Responsible for Immunoglobulin G-Dependent Effector Functions In Vivo. Immunity 35, 932Ð944 (2011).,
# Sial = Kaneko, Y., Nimmerjahn, F. & Ravetch, J.V., 2006. Anti-inflammatory activity of immunoglobulin G resulting from Fc sialylation. Science, 313(5787), pp.670-673.
