,FcgRIIA-131H/R,FcgRIIIA-158F/V,mouse ID,treatment,CD19+ cells          blood,CD19+IgM+ cells      spleen,CD19+IgM+ cells       bone marrow
1,R/R,F/F,P096,PBS,,30.8,2.4
2,R/R,F/F,1327-4,PBS,88.3,57.7,24.5
3,R/R,F/F,Q142,PBS,89,82.6,7.6
4,R/R,F/F,R132,PBS,76.6,52.5,6.1
5,H/R,F/F,63-5,PBS,95.7,84.1,21.9
6,H/R,F/F,934-5,PBS,92.8,77,17.5
7,H/R,F/V,1431-5,PBS,,78.7,38.2
8,H/R,F/V,1035-2,PBS,86.3,n.d.,20.3
9,H/R,F/V,2296-4,PBS,93.4,78.8,26.2
10,H/R,F/V,4568-3,PBS,88.8,72.1,24.6
11,H/R,F/V,O363,PBS,73.6,43.9,6.4
12,H/R,F/V,O795,PBS,90.9,64.5,11.6
13,H/R,V/V,P049,PBS,70.1,39.9,14.2
14,H/H,V/V,1045-6,PBS,n.d.,43,12.8
15,H/H,V/V,1450-6,PBS,74.2,57.1,4
16,H/H,V/V,1056-1,PBS,,67.5,22.7
17,H/H,V/V,P415,PBS,72.7,49.4,5.9
18,H/H,V/V,Q120,PBS,86.9,66.3,13.4
19,R/R,F/F,1327-2,1µg 1F5 hIgG1,25.2,35.9,20.2
20,R/R,F/F,P095,1µg 1F5 hIgG1,22.9,33.7,7.6
21,R/R,F/V,977-2,1µg 1F5 hIgG1,35.7,50.2,16.8
22,R/R,F/V,1126-4,1µg 1F5 hIgG1,13,9.4,11.2
23,H/R,F/V,1035-1,1µg 1F5 hIgG1,2.1,1,10.8
24,H/R,F/V,1035-8,1µg 1F5 hIgG1,35.9,,14.6
25,H/R,F/V,2296-2,1µg 1F5 hIgG1,37.9,41.9,13.3
26,H/H,V/V,1045-3,1µg 1F5 hIgG1,n.d.,4.6,10.6
27,H/H,V/V,1045-4,1µg 1F5 hIgG1,n.d.,6.8,3.8
28,H/H,V/V,P416,1µg 1F5 hIgG1,15.9,17.7,5.8
29,H/H,V/V,P419,1µg 1F5 hIgG1,31.8,20.5,7.6
30,H/H,V/V,Q121,1µg 1F5 hIgG1,46.3,47.5,7.8
31,H/H,V/V,Q124,1µg 1F5 hIgG1,39.8,39,7.9
32,R/R,F/F,P100,10µg 1F5 hIgG1,0.2,0.8,0.4
33,R/R,F/V,977-3,10µg 1F5 hIgG1,10.3,14.1,4.9
34,H/R,F/F,934-6,10µg 1F5 hIgG1,8.5,23,23.4
35,H/R,F/V,792-5,10µg 1F5 hIgG1,8.5,23.3,6
36,H/R,F/V,1035-3,10µg 1F5 hIgG1,32.9,23.4,3.9
37,H/H,V/V,P417,10µg 1F5 hIgG1,4.6,5.7,4
38,H/H,V/V,P420,10µg 1F5 hIgG1,20.1,22.5,6.9
39,H/H,V/V,Q122,10µg 1F5 hIgG1,16.3,15.9,7.7
40,H/R,F/F,63-1,100µg 1F5 hIgG1,6.6,30.7,10.5
41,H/R,F/F,376-2,100µg 1F5 hIgG1,2.4,15.7,15.4
42,H/H,V/V,1056-2,100µg 1F5 hIgG1,4.6,15.1,10.6
43,H/H,V/V,P418,100µg 1F5 hIgG1,8.1,5.8,2.4
44,H/H,V/V,Q123,100µg 1F5 hIgG1,16,16.4,4.9
45,H/H,V/V,Q125,100µg 1F5 hIgG1,21.1,9.1,5.1
